threshold,precision,recall,f1,accuracy,tp,fp,fn,tn
0.0,0.0,0.0,0.0,0.3948412698412698,0,0,2440,1592
0.05,0.0,0.0,0.0,0.3948412698412698,0,0,2440,1592
0.1,0.651890482398957,0.4098360655737705,0.5032712632108708,0.5104166666666666,1000,534,1440,1058
0.15000000000000002,0.6449203187250996,0.5307377049180327,0.5822841726618705,0.5391865079365079,1295,713,1145,879
0.2,0.6515151515151515,0.5991803278688524,0.6242527754056362,0.5634920634920635,1462,782,978,810
0.25,0.6586278586278587,0.6491803278688525,0.6538699690402477,0.5840773809523809,1584,821,856,771
0.30000000000000004,0.6614956245027844,0.6815573770491803,0.6713766653209527,0.5962301587301587,1663,851,777,741
0.35000000000000003,0.6639908256880734,0.7118852459016394,0.6871044303797469,0.6076388888888888,1737,879,703,713
0.4,0.6646928201332346,0.7360655737704918,0.6985608712563205,0.6155753968253969,1796,906,644,686
0.45,0.6706135629709364,0.7659836065573771,0.715132963458963,0.6307043650793651,1869,918,571,674
0.5,0.6728416637539322,0.7889344262295082,0.7262780607432561,0.6401289682539683,1925,936,515,656
0.55,0.6758503401360544,0.8143442622950819,0.7386617100371746,0.6512896825396826,1987,953,453,639
0.6000000000000001,0.6773547094188377,0.8311475409836065,0.7464114832535885,0.658234126984127,2028,966,412,626
0.65,0.6800916830386379,0.8512295081967213,0.7560975609756098,0.6676587301587301,2077,977,363,615
0.7000000000000001,0.6818181818181818,0.8729508196721312,0.7656362329259525,0.6765873015873016,2130,994,310,598
0.75,0.6831030150753769,0.8913934426229508,0.773470839260313,0.6840277777777778,2175,1009,265,583
0.8,0.6836923076923077,0.910655737704918,0.7810193321616872,0.6909722222222222,2222,1028,218,564
0.8500000000000001,0.6822429906542056,0.9274590163934426,0.786173354177523,0.6946924603174603,2263,1054,177,538
0.9,0.6771816037735849,0.9413934426229508,0.7877229080932784,0.6929563492063492,2297,1095,143,497
0.9500000000000001,0.6623081296191018,0.9549180327868853,0.7821416582745888,0.6780753968253969,2330,1188,110,404
1.0,0.6051587301587301,1.0,0.7540173053152038,0.6051587301587301,2440,1592,0,0
