Signature,Experiments,Hidden Units,Dropout,Learning Rate,ood.f1__mean,ood.f1__std,ood.precision__mean,ood.precision__std,ood.recall__mean,ood.recall__std
f301dc85,"stage13_021, stage13_057, stage13_093",512.0,0.0,0.001,0.934,0.068,0.934,0.077,0.934,0.062
033ffe5d,"stage13_029, stage13_065, stage13_101",1024.0,0.0,0.0005,0.91,0.109,0.939,0.053,0.886,0.154
8b1a5377,"stage13_030, stage13_066, stage13_102",1024.0,0.0,0.001,0.884,0.112,0.951,0.061,0.83,0.157
b4eddc26,"stage13_032, stage13_068, stage13_104",1024.0,0.25,0.0005,0.864,0.066,0.899,0.057,0.832,0.083
53d55034,"stage13_006, stage13_042, stage13_078",0.0,0.25,0.001,0.837,0.016,0.861,0.023,0.816,0.048
93164bdb,"stage13_015, stage13_051, stage13_087",128.0,0.25,0.001,0.856,0.122,0.908,0.086,0.813,0.149
3c67ca96,"stage13_033, stage13_069, stage13_105",1024.0,0.25,0.001,0.834,0.009,0.889,0.018,0.785,0.013
dcdcf0bd,"stage13_011, stage13_047, stage13_083",128.0,0.0,0.0005,0.856,0.158,0.805,0.257,0.96,0.036
73925452,"stage13_012, stage13_048, stage13_084",128.0,0.0,0.001,0.838,0.11,0.906,0.074,0.782,0.137
bdb1f83e,"stage13_003, stage13_039, stage13_075",0.0,0.0,0.001,0.817,0.019,0.816,0.062,0.828,0.091
fc72bd1f,"stage13_026, stage13_062, stage13_098",512.0,0.5,0.0005,0.822,0.069,0.969,0.042,0.716,0.09
0d14fb35,"stage13_013, stage13_049, stage13_085",128.0,0.25,0.0001,0.809,0.014,0.778,0.041,0.846,0.039
abbd7b90,"stage13_002, stage13_038, stage13_074",0.0,0.0,0.0005,0.805,0.019,0.797,0.089,0.826,0.077
2b6c892f,"stage13_024, stage13_060, stage13_096",512.0,0.25,0.001,0.807,0.045,0.918,0.061,0.729,0.103
76a81735,"stage13_005, stage13_041, stage13_077",0.0,0.25,0.0005,0.807,0.048,0.898,0.072,0.748,0.135
ed1946a1,"stage13_035, stage13_071, stage13_107",1024.0,0.5,0.0005,0.798,0.022,0.932,0.08,0.704,0.064
a61a34bc,"stage13_036, stage13_072, stage13_108",1024.0,0.5,0.001,0.808,0.08,0.953,0.078,0.706,0.108
ad7d4128,"stage13_025, stage13_061, stage13_097",512.0,0.5,0.0001,0.796,0.029,0.937,0.04,0.696,0.06
ac8bb74b,"stage13_020, stage13_056, stage13_092",512.0,0.0,0.0005,0.796,0.073,0.824,0.147,0.828,0.235
5c48acff,"stage13_027, stage13_063, stage13_099",512.0,0.5,0.001,0.779,0.053,0.897,0.054,0.695,0.1
43e32936,"stage13_016, stage13_052, stage13_088",128.0,0.5,0.0001,0.775,0.053,0.935,0.079,0.675,0.13
bbf761d7,"stage13_028, stage13_064, stage13_100",1024.0,0.0,0.0001,0.77,0.033,0.954,0.044,0.65,0.071
9fd752fb,"stage13_022, stage13_058, stage13_094",512.0,0.25,0.0001,0.763,0.013,0.891,0.185,0.707,0.166
590056e5,"stage13_008, stage13_044, stage13_080",0.0,0.5,0.0005,0.764,0.027,0.941,0.042,0.646,0.057
e2b99948,"stage13_019, stage13_055, stage13_091",512.0,0.0,0.0001,0.767,0.048,0.685,0.079,0.878,0.04
87f6fdc6,"stage13_018, stage13_054, stage13_090",128.0,0.5,0.001,0.763,0.025,0.941,0.05,0.643,0.034
1d34315f,"stage13_004, stage13_040, stage13_076",0.0,0.25,0.0001,0.762,0.026,0.916,0.068,0.658,0.077
8a89d9bf,"stage13_017, stage13_053, stage13_089",128.0,0.5,0.0005,0.762,0.037,0.981,0.003,0.624,0.051
25f1950d,"stage13_023, stage13_059, stage13_095",512.0,0.25,0.0005,0.765,0.054,0.779,0.209,0.814,0.171
c25a6943,"stage13_009, stage13_045, stage13_081",0.0,0.5,0.001,0.756,0.017,0.964,0.042,0.623,0.042
5b570a55,"stage13_001, stage13_037, stage13_073",0.0,0.0,0.0001,0.758,0.038,0.92,0.072,0.654,0.094
5b90d998,"stage13_034, stage13_070, stage13_106",1024.0,0.5,0.0001,0.744,0.037,0.976,0.029,0.603,0.052
a045baa3,"stage13_014, stage13_050, stage13_086",128.0,0.25,0.0005,0.748,0.073,0.978,0.032,0.613,0.114
3729defd,"stage13_007, stage13_043, stage13_079",0.0,0.5,0.0001,0.735,0.011,0.97,0.013,0.592,0.014
58874786,"stage13_031, stage13_067, stage13_103",1024.0,0.25,0.0001,0.724,0.033,0.575,0.042,0.981,0.002
1480c93e,"stage13_010, stage13_046, stage13_082",128.0,0.0,0.0001,0.698,0.045,0.779,0.26,0.725,0.232
